CleRegle;NomRegle;Severite;NomLangage;TypeRegle;Etiquette
cpp:S824;Functions should not be declared at block scope;MAJOR;C++;CODE_SMELL;{misra-c++2008,misra-c2004}
cpp:S5303;C-style casts (other than void casts) and functional notation casts (other than explicit constructor calls) shall not be used;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S5306;An `if ( condition )` construct shall be followed by a compound statement. The else keyword shall be followed by either a compou;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S5305;The statement forming the body of a switch, while, do … while or for statement shall be a compound statement.;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S1065;Unused labels should be removed;MAJOR;C++;CODE_SMELL;{based-on-misra,cert,unused}
cpp:S2275;Printf-style format strings should not lead to unexpected behavior at runtime;BLOCKER;C++;BUG;{cert,pitfall}
cpp:S5308;Return value of setuid family of functions should always be checked;CRITICAL;C++;CODE_SMELL;{}
cpp:S5307;All if … else if constructs shall be terminated with an else clause;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S5309;Every switch statement shall have at least one case-clause;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S836;Variables should be initialized before use;MAJOR;C++;BUG;{based-on-misra,cwe}
cpp:LiteralSuffix;Literal suffixes shall be upper case;MINOR;C++;CODE_SMELL;{based-on-misra,cert,convention,pitfall}
cpp:S831;Objects or functions with external linkage shall be declared in a header file;MAJOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S833;If a function has internal linkage then all re-declarations shall include the static storage class specifer;MAJOR;C++;CODE_SMELL;{misra-c++2008,misra-c2004,pitfall}
cpp:S835;Braces should be used to indicate and match the structure in the non-zero initialization of arrays and structures;MAJOR;C++;CODE_SMELL;{based-on-misra}
cpp:S834;Array declarations should include an explicit size specification;MAJOR;C++;CODE_SMELL;{based-on-misra,cert}
cpp:S3457;Printf-style format strings should be used correctly;MAJOR;C++;CODE_SMELL;{cert,confusing}
cpp:S1036;Control should not be transferred into a complex logic block using a goto or a switch statement;BLOCKER;C++;CODE_SMELL;{based-on-misra,cert,lock-in,pitfall}
cpp:S1035;An exception object should not have pointer type;CRITICAL;C++;BUG;{misra-c++2008}
cpp:S3696;Non-exception types should not be thrown;MAJOR;C++;CODE_SMELL;{api-design,based-on-misra,error-handling}
cpp:S2486;Exceptions should not be ignored;CRITICAL;C++;VULNERABILITY;{cwe,error-handling,owasp-a10,suspicious}
cpp:S1032;Function templates should not be specialized;BLOCKER;C++;BUG;{based-on-misra}
cpp:DigraphUsage;Digraphs should not be used;BLOCKER;C++;CODE_SMELL;{based-on-misra,obsolete}
cpp:S925;Recursion should not be used;CRITICAL;C++;CODE_SMELL;{bad-practice,based-on-misra,pitfall}
cpp:S926;Parameters in a function prototype should be named;MAJOR;C++;CODE_SMELL;{based-on-misra}
cpp:S920;Switch statement conditions should not have essentially boolean type;MINOR;C++;CODE_SMELL;{misra-c++2008,misra-c2004,misra-c2012}
cpp:FunctionEllipsis;Functions should not be defined with a variable number of arguments;CRITICAL;C++;CODE_SMELL;{cert,misra-c++2008,misra-c2004,pitfall}
cpp:S802;typedef names should be unique identifiers;MAJOR;C++;CODE_SMELL;{based-on-misra,suspicious}
cpp:S1045;Handlers in a single try-catch or function-try-block for a derived class and some or all of its bases should be ordered most-der;MAJOR;C++;BUG;{cert,misra-c++2008}
cpp:S1044;Exception classes should be caught by reference;MAJOR;C++;BUG;{cert,misra-c++2008}
cpp:UnaryAndOverloaded;The unary & operator should not be overloaded;MAJOR;C++;BUG;{misra-c++2008}
cpp:S936;Function names should be used either as a call with a parameter list or with the & operator;CRITICAL;C++;CODE_SMELL;{based-on-misra,suspicious}
cpp:S814;Bit fields should be declared with appropriate types;MAJOR;C++;CODE_SMELL;{based-on-misra,cert,lock-in}
cpp:S935;Function exit paths should have appropriate return values;CRITICAL;C++;BUG;{based-on-misra,cert,cwe}
cpp:S811;The condition of an if-statement and the condition of an iteration-statement shall have type bool;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S810;Appropriate char types should be used for character and integer values;MINOR;C++;CODE_SMELL;{based-on-misra,cert,confusing}
cpp:S813;typedefs that indicate size and signedness should be used in place of the basic types;MINOR;C++;CODE_SMELL;{based-on-misra}
cpp:S812;The first operand of a conditional operator should have type bool;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:IdentifierLongerThan31;Identifiers should not be longer than 31 characters;MAJOR;C++;CODE_SMELL;{based-on-misra,cert}
cpp:S905;Non-empty statements should change control flow or have at least one side-effect;MAJOR;C++;BUG;{based-on-misra,cwe,unused}
cpp:UnnamedNamespaceInHeader;Header files should not contain unnamed namespaces;MAJOR;C++;BUG;{based-on-misra,cert,pitfall}
cpp:S2753;Values of different enum types should not be compared;MAJOR;C++;BUG;{}
cpp:S1301;switch statements should have at least 3 case clauses;MINOR;C++;CODE_SMELL;{bad-practice,based-on-misra}
cpp:PPUndefUsage;#undef should not be used;CRITICAL;C++;CODE_SMELL;{based-on-misra,brain-overload}
cpp:SwitchLabelPlacement;Switch labels should not be nested inside non-switch blocks;BLOCKER;C++;CODE_SMELL;{confusing,misra-c++2008,misra-c2004,misra-c2012}
cpp:EnumPartialInitialization;enum members other than the first one should not be explicitly initialized unless all members are explicitly initialized;MAJOR;C++;CODE_SMELL;{based-on-misra}
cpp:SingleDeclarationPerStatement;Init-declarator-lists and member-declarator-lists should consist of single init-declarators and member-declarators respectively;MINOR;C++;CODE_SMELL;{based-on-misra,cert,convention}
cpp:S1763;Jump statements should not be followed by dead code;MAJOR;C++;BUG;{based-on-misra,cert,cwe,unused}
cpp:PPStringifyAndPastingUsage;Preprocessor operators # and ## should not be used;MINOR;C++;CODE_SMELL;{based-on-misra,lock-in}
cpp:S1761;Pre-defined macros should not be defined, redefined or undefined;CRITICAL;C++;CODE_SMELL;{based-on-misra,preprocessor,suspicious}
cpp:S3949;Integral operations should not overflow;MAJOR;C++;BUG;{based-on-misra,cert,misra,misra-c++2008,misra-c2004,misra-c2012,overflow}
cpp:S1767;Pointers should not be cast to integral types;CRITICAL;C++;BUG;{based-on-misra,cert}
cpp:S1219;switch statements should not contain non-case labels;BLOCKER;C++;CODE_SMELL;{based-on-misra,suspicious}
cpp:S1699;Constructors and destructors should only call non-overridable methods;CRITICAL;C++;CODE_SMELL;{cert,pitfall}
cpp:C99CommentUsage;Source code should only use /* ... */ style comments;MINOR;C++;CODE_SMELL;{based-on-misra,convention}
cpp:S1103;/* and // should not be used within comments;MINOR;C++;CODE_SMELL;{based-on-misra,cert,confusing}
cpp:Union;Unions should not be used;CRITICAL;C++;CODE_SMELL;{based-on-misra}
cpp:GlobalNamespaceMembers;The global namespace should only contain main, namespace declarations, and extern C declarations;CRITICAL;C++;CODE_SMELL;{based-on-misra,brain-overload}
cpp:ContinueUsage;continue should not be used;MINOR;C++;CODE_SMELL;{bad-practice,based-on-misra}
cpp:ElseIfWithoutElse;if ... else if constructs should end with else clauses;CRITICAL;C++;CODE_SMELL;{based-on-misra,cert}
cpp:TrigraphUsage;Trigraphs should not be used;BLOCKER;C++;CODE_SMELL;{based-on-misra,cert,obsolete,suspicious}
cpp:S5298;When an array is declared, its size shall either be stated explicitly or defined implicitly by initialization;MAJOR;C++;BUG;{misra-c++2008}
cpp:S5297;GNU attributes should be used correctly;MAJOR;C++;CODE_SMELL;{confusing}
cpp:GotoUsage;goto statement should not be used;MAJOR;C++;CODE_SMELL;{based-on-misra,brain-overload}
cpp:S5293;Format strings should comply with ISO standards;MINOR;C++;CODE_SMELL;{convention}
cpp:S5180;The addresses of standard library functions should not be taken;CRITICAL;C++;BUG;{pitfall}
cpp:S5184;RAII objects should not be temporary;BLOCKER;C++;VULNERABILITY;{suspicious}
cpp:S5278;Size argument of memory functions should be consistent;MAJOR;C++;CODE_SMELL;{suspicious}
cpp:S5277;Return value of nodiscard functions should not be ignored;MAJOR;C++;CODE_SMELL;{suspicious}
cpp:S5279;Unevaluated operands should not have side effects;MAJOR;C++;CODE_SMELL;{based-on-misra,suspicious}
cpp:LogicalExpressionOperands;Operands of && and || should be primary (C) or postfix (C++) expressions;MAJOR;C++;CODE_SMELL;{based-on-misra}
cpp:S5274;Move operations should not interfere with copy elisions;MAJOR;C++;CODE_SMELL;{bad-practice}
cpp:S5273;Appropriate size arguments should be passed to strncat and strlcpy;MAJOR;C++;CODE_SMELL;{suspicious}
cpp:S5275;reinterpret_cast should be used carefully;CRITICAL;C++;BUG;{suspicious}
cpp:S5270;User-defined types should not be passed as variadic arguments;MAJOR;C++;BUG;{suspicious}
cpp:S5272;Moved-from objects should not be relied upon;MAJOR;C++;CODE_SMELL;{cert}
cpp:S5271;Functions which do not return should be declared as noreturn;MINOR;C++;CODE_SMELL;{confusing}
cpp:S5281;Argument of printf should be a format string;CRITICAL;C++;CODE_SMELL;{bad-practice}
cpp:S5280;mktemp family of functions templates should have at least six trailing Xs;CRITICAL;C++;CODE_SMELL;{suspicious}
cpp:S5283;Size of variable length arrays should be positive;CRITICAL;C++;CODE_SMELL;{suspicious}
cpp:GlobalMainFunction;The name main should not be used for any function other than the global main function;BLOCKER;C++;CODE_SMELL;{misra-c++2008,pitfall}
cpp:PPIncludeCstdio;<cstdio> should not be used;CRITICAL;C++;CODE_SMELL;{based-on-misra,lock-in}
cpp:EmptyThrowOutsideHandler;Empty throws (throw) should only be used in the compound statements of catch handlers;CRITICAL;C++;BUG;{based-on-misra}
cpp:PPDefineOrUndefFromBlock;Macros should not be #define'd or #undef'd within a block;CRITICAL;C++;CODE_SMELL;{based-on-misra,pitfall}
cpp:PPIncludeTime;<time.h> should not be used;CRITICAL;C++;CODE_SMELL;{based-on-misra,lock-in}
cpp:CommentedCode;Sections of code should not be commented out;MAJOR;C++;CODE_SMELL;{based-on-misra,unused}
cpp:S1709;explicit should be used on single-parameter constructors and conversion operators;CRITICAL;C++;CODE_SMELL;{based-on-misra}
cpp:S127;for loop stop conditions should be invariant;MAJOR;C++;CODE_SMELL;{based-on-misra,pitfall}
cpp:UsingDirective;using directives should not be used;MINOR;C++;BUG;{based-on-misra,pitfall}
cpp:EllipsisHandlerNotLast;Condition-specific catch handlers should not be used after the ellipsis (catch-all) handler;MAJOR;C++;BUG;{based-on-misra,unused}
cpp:S5213;Template parameters should be preferred to std::function when configuring behavior at compile time;CRITICAL;C++;CODE_SMELL;{bad-practice,performance}
cpp:PPIncludeCHeader;C libraries should not be used;CRITICAL;C++;CODE_SMELL;{misra-c++2008}
cpp:CommaAndOrOverloaded;The comma operator, &&, and || should not be overloaded;CRITICAL;C++;CODE_SMELL;{misra-c++2008}
cpp:S109;Magic numbers should not be used;MAJOR;C++;CODE_SMELL;{brain-overload}
cpp:S121;Control structures should use curly braces;CRITICAL;C++;CODE_SMELL;{based-on-misra,cert,pitfall}
cpp:SideEffectInRightHandSideOfLogical;The right-hand operands of && and || should not contain side effects;BLOCKER;C++;CODE_SMELL;{based-on-misra,cert}
cpp:S2193;for loop counters should not have essentially floating type;MINOR;C++;BUG;{based-on-misra,cert}
cpp:S2190;Recursion should not be infinite;BLOCKER;C++;BUG;{suspicious}
cpp:ExceptionInDestructor;Destructors should not throw exceptions;CRITICAL;C++;BUG;{based-on-misra}
cpp:S5319;The identifiers used for the parameters in a re-declaration or override of a function shall be identical to those in the declara;MINOR;C++;CODE_SMELL;{misra-c++2008}
cpp:S5318;using-directives and using-declarations (excluding class scope or function scope using-declarations) shall not be used in header;CRITICAL;C++;CODE_SMELL;{misra-c++2008}
cpp:S5205;Function pointers should not be used as function parameters;MAJOR;C++;CODE_SMELL;{clumsy}
cpp:PPIncludeStdio;<stdio.h> should not be used in production code;CRITICAL;C++;BUG;{based-on-misra,lock-in}
cpp:S1081;Insecure functions strcpy, strcat and sprintf should not be used;CRITICAL;C++;VULNERABILITY;{cert,cwe,owasp-a9,sans-top25-risky}
cpp:S5259;Header guards should be followed by according #define macro;CRITICAL;C++;CODE_SMELL;{unpredictable}
cpp:S793;All uses of the #pragma directive should be documented;MAJOR;C++;CODE_SMELL;{based-on-misra,cert}
cpp:S784;Assembly language should be encapsulated and isolated;MAJOR;C++;CODE_SMELL;{misra-c++2008,misra-c2004}
cpp:ObsoletePosixFunction;Obsolete POSIX functions should not be used;MAJOR;C++;CODE_SMELL;{cert,obsolete}
cpp:S5028;Macros should not be used to define constants;CRITICAL;C++;CODE_SMELL;{bad-practice,clumsy}
cpp:S5267;Functions with noreturn attribute should not return;BLOCKER;C++;BUG;{confusing}
cpp:S5025;Memory should not be managed manually;CRITICAL;C++;CODE_SMELL;{bad-practice,cpp11}
cpp:S5266;Keywords shall not be used as macros identifiers;MAJOR;C++;CODE_SMELL;{based-on-misra,pitfall,unpredictable}
cpp:S5269;Class members should not be initialized with dangling references;MAJOR;C++;BUG;{pitfall}
cpp:PPBadIncludeForm;#include directives should be followed by either <filename> or filename sequences;MAJOR;C++;BUG;{based-on-misra}
cpp:S5263;Logical operators should not be confused with bitwise operators;CRITICAL;C++;CODE_SMELL;{pitfall}
cpp:S5262;Dereferenced null pointers should not be bound to references;MAJOR;C++;CODE_SMELL;{unpredictable}
cpp:S5265;Incomplete types should not be deleted;MAJOR;C++;CODE_SMELL;{unpredictable}
cpp:S5261;else statements should be clearly matched with an if;MAJOR;C++;CODE_SMELL;{confusing}
cpp:PPIncludeNonStandardCharacters;Non-standard characters should not occur in header file names in #include directives;MAJOR;C++;BUG;{based-on-misra}
cpp:FunctionSinglePointOfExit;A function should have a single point of exit at the end of the function;MINOR;C++;CODE_SMELL;{based-on-misra,brain-overload}
cpp:SwitchWithoutDefault;switch statements should have default clauses;CRITICAL;C++;CODE_SMELL;{based-on-misra,cert,cwe}
cpp:PPIncludeNotAtTop;#include directives in a file should only be preceded by other preprocessor directives or comments;MAJOR;C++;CODE_SMELL;{confusing,misra-c++2008,misra-c2004,misra-c2012}
cpp:NonEmptyCaseWithoutBreak;Switch cases should end with an unconditional break statement;BLOCKER;C++;CODE_SMELL;{based-on-misra,cert,cwe,suspicious}
cpp:S886;The three expressions of a for statement should only be concerned with loop control;MAJOR;C++;BUG;{based-on-misra}
cpp:BackJumpWithGoto;goto should jump to labels declared later in the same function;BLOCKER;C++;CODE_SMELL;{based-on-misra,pitfall}
cpp:IncAndDecMixedWithOtherOperators;Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression;MAJOR;C++;CODE_SMELL;{based-on-misra,cert}
cpp:S5008;void * should not be used in function parameters or return type;CRITICAL;C++;CODE_SMELL;{based-on-misra}
cpp:S897;Unused type declarations should be removed;MAJOR;C++;CODE_SMELL;{based-on-misra,unused}
vbnet:S2068;Credentials should not be hard-coded;BLOCKER;VB.NET;VULNERABILITY;{cwe,owasp-a2,sans-top25-porous}
vbnet:S112;General exceptions should never be thrown;MAJOR;VB.NET;CODE_SMELL;{cwe,error-handling}
vbnet:S1659;Multiple variables should not be declared on the same line;MINOR;VB.NET;CODE_SMELL;{convention}
vbnet:S1301;Select statements should have at least 3 Case clauses;MINOR;VB.NET;CODE_SMELL;{bad-practice}
vbnet:S1147;End statements should not be used;BLOCKER;VB.NET;CODE_SMELL;{cwe,suspicious}
vbnet:S1145;Useless if(true) {...} and if(false){...} blocks should be removed;MAJOR;VB.NET;BUG;{cwe}
vbnet:S3776;Cognitive Complexity of functions should not be too high;CRITICAL;VB.NET;CODE_SMELL;{brain-overload}
vbnet:S1075;URIs should not be hardcoded;MINOR;VB.NET;CODE_SMELL;{}
vbnet:S1764;Identical expressions should not be used on both sides of a binary operator;MAJOR;VB.NET;BUG;{}
vbnet:S2178;Short-circuit logic should be used in boolean contexts;BLOCKER;VB.NET;CODE_SMELL;{}
vbnet:S1172;Unused procedure parameters should be removed;MAJOR;VB.NET;CODE_SMELL;{unused}
vbnet:S1862;Related If/ElseIf statements should not have the same condition;MAJOR;VB.NET;BUG;{pitfall,unused}
vbnet:S1226;Method parameters and caught exceptions should not be reassigned;MINOR;VB.NET;BUG;{}
vbnet:S131;Select statements should end with a Case Else clause;CRITICAL;VB.NET;CODE_SMELL;{cwe}
vbnet:S126;If ... ElseIf constructs should end with Else clauses;CRITICAL;VB.NET;CODE_SMELL;{}
vbnet:S1048;Finalizers should not throw exceptions;BLOCKER;VB.NET;BUG;{}
flex:S4524;default clauses should be first or last;CRITICAL;Flex;CODE_SMELL;{}
flex:S1172;Unused function parameters should be removed;MAJOR;Flex;CODE_SMELL;{unused}
flex:S1301;switch statements should have at least 3 case clauses;MINOR;Flex;CODE_SMELL;{bad-practice}
flex:S1145;Useless if(true) {...} and if(false){...} blocks should be removed;MAJOR;Flex;BUG;{cwe}
flex:S3923;All branches in a conditional structure should not have exactly the same implementation;MAJOR;Flex;BUG;{}
flex:S1951;The trace function should not be used;MINOR;Flex;VULNERABILITY;{cwe,owasp-a3}
flex:S1871;Two branches in a conditional structure should not have exactly the same implementation;MAJOR;Flex;CODE_SMELL;{design,suspicious}
flex:FunctionSinglePointOfExit;A function should have a single point of exit at the end of the function;MINOR;Flex;CODE_SMELL;{brain-overload}
flex:SwitchWithoutDefault;switch statements should end with default clauses;CRITICAL;Flex;CODE_SMELL;{cwe}
flex:S1117;Local variables should not shadow class fields;MAJOR;Flex;CODE_SMELL;{pitfall,suspicious}
flex:S1314;Octal values should not be used;BLOCKER;Flex;CODE_SMELL;{pitfall}
flex:S1116;Empty statements should be removed;MINOR;Flex;CODE_SMELL;{unused}
flex:CommentedCode;Sections of code should not be commented out;MAJOR;Flex;CODE_SMELL;{unused}
flex:NonEmptyCaseWithoutBreak;Switch cases should end with an unconditional break statement;BLOCKER;Flex;CODE_SMELL;{cwe,suspicious}
flex:S127;for loop stop conditions should be invariant;MAJOR;Flex;CODE_SMELL;{pitfall}
flex:S1444;public static fields should be constant;MINOR;Flex;VULNERABILITY;{cwe}
flex:S1442;Alert.show(...) should not be used;MINOR;Flex;VULNERABILITY;{cwe,owasp-a3,user-experience}
vbnet:S1656;Variables should not be self-assigned;MAJOR;VB.NET;BUG;{}
plsql:DeleteOrUpdateWithoutWhereCheck;DELETE and UPDATE statements should contain WHERE clauses;BLOCKER;PL/SQL;BUG;{sql}
squid:S3553;Optional should not be used for parameters;MAJOR;Java;CODE_SMELL;{clumsy}
squid:S1118;Utility classes should not have public constructors;MAJOR;Java;CODE_SMELL;{design}
squid:UselessImportCheck;Useless imports should be removed;MINOR;Java;CODE_SMELL;{unused}
squid:S1126;Return of boolean expressions should not be wrapped into an if-then-else statement;MINOR;Java;CODE_SMELL;{clumsy}
squid:S2699;Tests should include assertions;BLOCKER;Java;CODE_SMELL;{tests}
squid:S2129;Constructors should not be used to instantiate String, BigInteger, BigDecimal and primitive-wrapper classes;MAJOR;Java;CODE_SMELL;{performance}
squid:S2639;Inappropriate regular expressions should not be used;MAJOR;Java;BUG;{}
squid:S3864;Stream.peek should not be used;MAJOR;Java;CODE_SMELL;{java8,pitfall}
squid:S2924;JUnit rules should be used;MINOR;Java;CODE_SMELL;{tests,unused}
squid:S2175;Inappropriate Collection calls should not be made;MAJOR;Java;BUG;{cert}
squid:S5128;Bean Validation (JSR 380) should be properly configured;CRITICAL;Java;CODE_SMELL;{}
php:S2053;Hashes should include an unpredictable salt;CRITICAL;PHP;VULNERABILITY;{cwe,owasp-a3,sans-top25-porous}
php:S2001;Deprecated features should not be used;MAJOR;PHP;CODE_SMELL;{obsolete}
php:S4823;Using command line arguments is security-sensitive;CRITICAL;PHP;VULNERABILITY;{cwe,owasp-a1,sans-top25-insecure}
javascript:S1143;Jump statements should not occur in finally blocks;CRITICAL;JavaScript;BUG;{cert,cwe,error-handling}
javascript:S2737;catch clauses should do more than rethrow;MINOR;JavaScript;CODE_SMELL;{clumsy,error-handling,finding,unused}
javascript:S3402;Strings and non-strings should not be added;MINOR;JavaScript;CODE_SMELL;{confusing}
javascript:S3523;Function constructors should not be used;CRITICAL;JavaScript;CODE_SMELL;{}
javascript:TrailingComma;Trailing commas should not be used;MINOR;JavaScript;CODE_SMELL;{cross-browser}
javascript:S4829;Reading the Standard Input is security-sensitive;CRITICAL;JavaScript;VULNERABILITY;{cwe}
javascript:S3984;Errors should not be created without being thrown;MAJOR;JavaScript;BUG;{error-handling}
c:S1760;Keywords introduced in later specifications should not be used as identifiers;BLOCKER;C;CODE_SMELL;{}
cpp:NamespaceName;Namespace names should comply with a naming convention;MINOR;C++;CODE_SMELL;{convention}
cpp:S1231;new and delete should be used;CRITICAL;C++;CODE_SMELL;{leak,suspicious}
cpp:S1669;Context-sensitive keywords should not be used as identifiers;BLOCKER;C++;CODE_SMELL;{pitfall}
cpp:S1760;Keywords introduced in later specifications should not be used as identifiers;BLOCKER;C++;CODE_SMELL;{}
cpp:ExceptionSpecificationUsage;Exception specifications should not be used;CRITICAL;C++;CODE_SMELL;{clumsy,error-handling}
vbnet:S1135;Track uses of TODO tags;INFO;VB.NET;CODE_SMELL;{cwe}
vbnet:S1134;Track uses of FIXME tags;MAJOR;VB.NET;CODE_SMELL;{cwe}
vbnet:S107;Procedures should not have too many parameters;MAJOR;VB.NET;CODE_SMELL;{brain-overload}
vbnet:S108;Nested blocks of code should not be left empty;MAJOR;VB.NET;CODE_SMELL;{suspicious}
vbnet:S2234;Parameters should be passed in the correct order;MAJOR;VB.NET;CODE_SMELL;{}
vbnet:S1110;Redundant pairs of parentheses should be removed;MAJOR;VB.NET;CODE_SMELL;{confusing}
vbnet:S1125;Boolean literals should not be redundant;MINOR;VB.NET;CODE_SMELL;{clumsy}
vbnet:S2551;Types and Me should not be used for locking;CRITICAL;VB.NET;BUG;{multi-threading}
vbnet:S1066;Collapsible if statements should be merged;MAJOR;VB.NET;CODE_SMELL;{clumsy}
vbnet:S1151;Select...Case clauses should not have too many lines of code;MAJOR;VB.NET;CODE_SMELL;{brain-overload}
vbnet:S138;Procedures should not have too many lines of code;MAJOR;VB.NET;CODE_SMELL;{brain-overload}
typescript:S2068;Credentials should not be hard-coded;BLOCKER;TypeScript;VULNERABILITY;{cert,cwe,owasp-a2,sans-top25-porous}
typescript:S107;Functions should not have too many parameters;MAJOR;TypeScript;CODE_SMELL;{brain-overload}
typescript:S2234;Parameters should be passed in the correct order;MAJOR;TypeScript;CODE_SMELL;{}
typescript:S1143;Jump statements should not occur in finally blocks;CRITICAL;TypeScript;BUG;{cert,cwe,error-handling}
typescript:S2871;A compare function should be provided when using Array.prototype.sort();CRITICAL;TypeScript;BUG;{bad-practice}
typescript:S1821;switch statements should not be nested;CRITICAL;TypeScript;CODE_SMELL;{pitfall}
typescript:S1751;Loops with at most one iteration should be refactored;MAJOR;TypeScript;BUG;{}
typescript:S1479;switch statements should not have too many case clauses;MAJOR;TypeScript;CODE_SMELL;{brain-overload}
typescript:S1192;String literals should not be duplicated;CRITICAL;TypeScript;CODE_SMELL;{design}
typescript:S1764;Identical expressions should not be used on both sides of a binary operator;MAJOR;TypeScript;BUG;{cert}
typescript:S2737;catch clauses should do more than rethrow;MINOR;TypeScript;CODE_SMELL;{clumsy,error-handling,finding,unused}
typescript:S1523;Code should not be dynamically injected and executed;CRITICAL;TypeScript;VULNERABILITY;{cwe,owasp-a1,owasp-a7}
typescript:S4322;Type guards should be used;MINOR;TypeScript;CODE_SMELL;{proficiency}
objc:S990;abort, exit, getenv and system from <stdlib.h> should not be used;CRITICAL;Objective-C;BUG;{based-on-misra,cert}
typescript:S4822;Promise rejections should not be caught by 'try' block;MAJOR;TypeScript;BUG;{}
typescript:S4798;Optional boolean parameters should have default value;MAJOR;TypeScript;CODE_SMELL;{}
typescript:S3984;Errors should not be created without being thrown;MAJOR;TypeScript;BUG;{error-handling}
typescript:S4158;Empty collections should not be accessed or iterated;MINOR;TypeScript;BUG;{}
plsql:S104;Files should not have too many lines of code;MAJOR;PL/SQL;CODE_SMELL;{brain-overload}
plsql:S1940;Boolean checks should not be inverted;MINOR;PL/SQL;CODE_SMELL;{pitfall}
plsql:S1703;%TYPE and %ROWTYPE should not be used in package specification;CRITICAL;PL/SQL;CODE_SMELL;{}
plsql:S1751;Jump statements should not be used unconditionally;MAJOR;PL/SQL;BUG;{}
plsql:S1871;Two branches in a conditional structure should not have exactly the same implementation;MAJOR;PL/SQL;CODE_SMELL;{design,suspicious}
plsql:S3651;Individual WHERE clause conditions should not be unconditionally true or false;CRITICAL;PL/SQL;BUG;{sql}
plsql:LiteralsNonPrintableCharactersCheck;Newline and control characters should not be used in string literals;CRITICAL;PL/SQL;CODE_SMELL;{pitfall}
plsql:S5047;TO_NUMBER should be used with a format model;MAJOR;PL/SQL;CODE_SMELL;{}
plsql:S2737;EXCEPTION WHEN ... THEN clauses should do more than RAISE;MINOR;PL/SQL;CODE_SMELL;{clumsy,error-handling,finding,unused}
plsql:MaskedExceptionCheck;Exceptions should not be ignored;CRITICAL;PL/SQL;VULNERABILITY;{cwe,error-handling,owasp-a10,suspicious}
plsql:S4196;Output parameters should be assigned;MAJOR;PL/SQL;BUG;{pitfall}
plsql:S1451;Track lack of copyright and license headers;BLOCKER;PL/SQL;CODE_SMELL;{}
plsql:S1854;Dead stores should be removed;MAJOR;PL/SQL;CODE_SMELL;{cert,cwe,unused}
plsql:S1172;Unused procedure and function parameters should be removed;MAJOR;PL/SQL;CODE_SMELL;{cert,misra,unused}
plsql:S3641;Nullable subqueries should not be used in NOT IN conditions;CRITICAL;PL/SQL;BUG;{sql}
plsql:S4575;TO_DATE should be used with a datetime model format;MAJOR;PL/SQL;CODE_SMELL;{}
plsql:S5141;SQL JOIN conditions should involve all joined tables;CRITICAL;PL/SQL;CODE_SMELL;{}
plsql:S2761;Unary prefix operators should not be repeated;MAJOR;PL/SQL;BUG;{}
plsql:S131;CASE expressions should end with ELSE clauses;CRITICAL;PL/SQL;CODE_SMELL;{cert,cwe,misra}
plsql:S3618;Inserts should include values for non-null columns;BLOCKER;PL/SQL;BUG;{sql}
plsql:S5245;Identifiers should be written in lower case;MINOR;PL/SQL;CODE_SMELL;{convention}
plsql:S3626;Jump statements should not be redundant;MINOR;PL/SQL;CODE_SMELL;{clumsy,redundant}
objc:S2342;Enumeration names should comply with a naming convention;MINOR;Objective-C;CODE_SMELL;{convention}
objc:S2479;Control characters should not be used in literals;CRITICAL;Objective-C;CODE_SMELL;{pitfall}
objc:S1143;return statements should not occur in finally blocks;CRITICAL;Objective-C;BUG;{cert,cwe,error-handling}
objc:S1141;Try-catch blocks should not be nested;MAJOR;Objective-C;CODE_SMELL;{confusing,error-handling}
objc:S1706;Exceptions should not be used;MAJOR;Objective-C;CODE_SMELL;{}
objc:S1854;Dead stores should be removed;MAJOR;Objective-C;CODE_SMELL;{cert,cwe,unused}
objc:S1749;Type specifiers should be listed in a standard order;MINOR;Objective-C;CODE_SMELL;{}
objc:S3923;All branches in a conditional structure should not have exactly the same implementation;MAJOR;Objective-C;BUG;{}
objc:S3222;Label names should comply with a naming convention;MINOR;Objective-C;CODE_SMELL;{convention}
objc:ClassName;Class names should comply with a naming convention;MINOR;Objective-C;CODE_SMELL;{convention}
objc:S1751;Loops with at most one iteration should be refactored;MAJOR;Objective-C;BUG;{}
objc:S1871;Two branches in a conditional structure should not have exactly the same implementation;MAJOR;Objective-C;CODE_SMELL;{design,suspicious}
objc:S1079;scanf() and fscanf() format strings should specify a field width for the %s string placeholder;CRITICAL;Objective-C;VULNERABILITY;{cwe,injection,sans-top25-risky}
objc:S1878;union names should comply with a naming convention;MINOR;Objective-C;CODE_SMELL;{convention}
objc:S1764;Identical expressions should not be used on both sides of a binary operator;MAJOR;Objective-C;BUG;{cert}
objc:S1642;struct names should comply with a naming convention;MINOR;Objective-C;CODE_SMELL;{convention}
objc:S2737;catch clauses should do more than rethrow;MINOR;Objective-C;CODE_SMELL;{clumsy,error-handling,finding,unused}
